term	reading	sentence	category	source
水道用ポリエチレン管	すいどうようぽりえちれんかん	施設台帳を更新するため、管理責任者が水道用ポリエチレン管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道用硬質塩化ビニル管	すいどうようこうしつえんかびにるかん	関係機関との合同協議で、管理責任者が水道用硬質塩化ビニル管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道用鋼管	すいどうようこうかん	休日の応急対応中、管理責任者が水道用鋼管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道用ダクタイル鋳鉄管	すいどうようだくたいるちゅうてつかん	技術提案の審査会で、管理責任者が水道用ダクタイル鋳鉄管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道用ステンレス鋼管	すいどうようすてんれすこうかん	定期修繕の発注前に、管理責任者が水道用ステンレス鋼管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道用銅管	すいどうようどうかん	現地踏査の報告会では、管理責任者が水道用銅管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
波状ステンレス鋼管	はじょうすてんれすこうかん	浸水被害の聞き取り後、管理責任者が波状ステンレス鋼管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
耐衝撃性硬質塩化ビニル管	たいしょうげきせいこうしつえんかびにるかん	監査資料を取りまとめる際、管理責任者が耐衝撃性硬質塩化ビニル管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
架橋ポリエチレン管	かきょうぽりえちれんかん	交代勤務者への申し送りで、管理責任者が架橋ポリエチレン管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
ポリブテン管	ぽりぶてんかん	試運転の評価会において、管理責任者がポリブテン管に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
止水栓筐	しすいせんきょう	耐震診断の中間報告では、管理責任者が止水栓筐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
量水器筐	りょうすいききょう	水質異常の第一報を受け、管理責任者が量水器筐に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
量水器室	りょうすいきしつ	管路調査の成果整理時に、管理責任者が量水器室に関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水道メーター	すいどうめーたー	予防保全の優先順位を決めるため、管理責任者が水道メーターに関する異常の有無を報告したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
親メーター	おやめーたー	基本設計の照査で、水質担当者は親メーターの検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
子メーター	こめーたー	施工計画の協議に先立ち、水質担当者は子メーターの検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
遠隔指示式量水器	えんかくしじしきりょうすいき	夜間工事の安全会議では、水質担当者は遠隔指示式量水器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
電子式量水器	でんししきりょうすいき	月例点検の結果を受けて、水質担当者は電子式量水器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
電磁式水道メーター	でんじしきすいどうめーたー	豪雨後の緊急巡視で、水質担当者は電磁式水道メーターの検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
羽根車式量水器	はねぐるましきりょうすいき	更新予算の査定時に、水質担当者は羽根車式量水器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
計量法検定	けいりょうほうけんてい	住民説明会の資料では、水質担当者は計量法検定の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
検定満期	けんていまんき	議会答弁を準備する過程で、水質担当者は検定満期の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
有効期間満了	ゆうこうきかんまんりょう	新人研修の実習中に、水質担当者は有効期間満了の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
メーター口径	めーたーこうけい	竣工検査の前日、水質担当者はメーター口径の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
メーター交換	めーたーこうかん	災害訓練の反省会で、水質担当者はメーター交換の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
逆流防止器	ぎゃくりゅうぼうしき	委託業者との現場打合せにおいて、水質担当者は逆流防止器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
逆流防止装置	ぎゃくりゅうぼうしそうち	長寿命化計画の見直し時に、水質担当者は逆流防止装置の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
吐水口空間	とすいこうくうかん	運転日報を確認したところ、水質担当者は吐水口空間の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
負圧破壊装置	ふあつはかいそうち	中央監視室の引継ぎで、水質担当者は負圧破壊装置の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
減圧式逆流防止器	げんあつしきぎゃくりゅうぼうしき	事故原因の検証会議では、水質担当者は減圧式逆流防止器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
直結増圧給水設備	ちょっけつぞうあつきゅうすいせつび	工事完成図との照合時に、水質担当者は直結増圧給水設備の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
増圧給水設備	ぞうあつきゅうすいせつび	次年度の実施計画を作る際、水質担当者は増圧給水設備の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
増圧ポンプ	ぞうあつぽんぷ	施設台帳を更新するため、水質担当者は増圧ポンプの検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
受水槽有効容量	じゅすいそうゆうこうようりょう	関係機関との合同協議で、水質担当者は受水槽有効容量の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
越流管	えつりゅうかん	休日の応急対応中、水質担当者は越流管の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
通気管	つうきかん	技術提案の審査会で、水質担当者は通気管の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
揚水管	ようすいかん	定期修繕の発注前に、水質担当者は揚水管の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水抜き管	みずぬきかん	現地踏査の報告会では、水質担当者は水抜き管の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
排水空間	はいすいくうかん	浸水被害の聞き取り後、水質担当者は排水空間の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
吐水口径	とすいこうけい	監査資料を取りまとめる際、水質担当者は吐水口径の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水撃防止器	すいげきぼうしき	交代勤務者への申し送りで、水質担当者は水撃防止器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
凍結防止器	とうけつぼうしき	試運転の評価会において、水質担当者は凍結防止器の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
不凍給水栓	ふとうきゅうすいせん	耐震診断の中間報告では、水質担当者は不凍給水栓の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
湯水混合水栓	ゆみずこんごうすいせん	水質異常の第一報を受け、水質担当者は湯水混合水栓の検査結果を過年度値と照合したため、その結論を協議録に残した。	給水・弁類	日本水道協会「水道施設設計指針」
水素イオン濃度	すいそいおんのうど	管路調査の成果整理時に、水質担当者は水素イオン濃度の検査結果を過年度値と照合したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
味	あじ	予防保全の優先順位を決めるため、水質担当者は味の検査結果を過年度値と照合したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
臭気強度	しゅうききょうど	基本設計の照査で、事業担当課は臭気強度の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
臭気閾値	しゅうきいきち	施工計画の協議に先立ち、事業担当課は臭気閾値の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
残留塩素濃度	ざんりゅうえんそのうど	夜間工事の安全会議では、事業担当課は残留塩素濃度の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
塩素処理副生成物	えんそしょりふくせいせいぶつ	月例点検の結果を受けて、事業担当課は塩素処理副生成物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
総有機炭素量	そうゆうきたんそりょう	豪雨後の緊急巡視で、事業担当課は総有機炭素量の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
有機物量	ゆうきぶつりょう	更新予算の査定時に、事業担当課は有機物量の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
過マンガン酸カリウム消費量	かまんがんさんかりうむしょうひりょう	住民説明会の資料では、事業担当課は過マンガン酸カリウム消費量の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
陰イオン界面活性剤	いんいおんかいめんかっせいざい	議会答弁を準備する過程で、事業担当課は陰イオン界面活性剤の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
非イオン界面活性剤	ひいおんかいめんかっせいざい	新人研修の実習中に、事業担当課は非イオン界面活性剤の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
フェノール類	ふぇのーるるい	竣工検査の前日、事業担当課はフェノール類の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
シアン化物イオン	しあんかぶついおん	災害訓練の反省会で、事業担当課はシアン化物イオンの整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
塩化物イオン	えんかぶついおん	委託業者との現場打合せにおいて、事業担当課は塩化物イオンの整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
フッ素及びその化合物	ふっそおよびそのかごうぶつ	長寿命化計画の見直し時に、事業担当課はフッ素及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
ホウ素及びその化合物	ほうそおよびそのかごうぶつ	運転日報を確認したところ、事業担当課はホウ素及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
セレン及びその化合物	せれんおよびそのかごうぶつ	中央監視室の引継ぎで、事業担当課はセレン及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
ヒ素及びその化合物	ひそおよびそのかごうぶつ	事故原因の検証会議では、事業担当課はヒ素及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
水銀及びその化合物	すいぎんおよびそのかごうぶつ	工事完成図との照合時に、事業担当課は水銀及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
カドミウム及びその化合物	かどみうむおよびそのかごうぶつ	次年度の実施計画を作る際、事業担当課はカドミウム及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
六価クロム化合物	ろっかくろむかごうぶつ	施設台帳を更新するため、事業担当課は六価クロム化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
マンガン及びその化合物	まんがんおよびそのかごうぶつ	関係機関との合同協議で、事業担当課はマンガン及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
アルミニウム及びその化合物	あるみにうむおよびそのかごうぶつ	休日の応急対応中、事業担当課はアルミニウム及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
ナトリウム及びその化合物	なとりうむおよびそのかごうぶつ	技術提案の審査会で、事業担当課はナトリウム及びその化合物の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
カルシウム等	かるしうむとう	定期修繕の発注前に、事業担当課はカルシウム等の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
蒸発残留物量	じょうはつざんりゅうぶつりょう	現地踏査の報告会では、事業担当課は蒸発残留物量の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
硝酸及び亜硝酸	しょうさんおよびあしょうさん	浸水被害の聞き取り後、事業担当課は硝酸及び亜硝酸の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
亜硝酸態窒素濃度	あしょうさんたいちっそのうど	監査資料を取りまとめる際、事業担当課は亜硝酸態窒素濃度の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
硝酸態窒素濃度	しょうさんたいちっそのうど	交代勤務者への申し送りで、事業担当課は硝酸態窒素濃度の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
一般細菌数	いっぱんさいきんすう	試運転の評価会において、事業担当課は一般細菌数の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
大腸菌数	だいちょうきんすう	耐震診断の中間報告では、事業担当課は大腸菌数の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
従属栄養細菌数	じゅうぞくえいようさいきんすう	水質異常の第一報を受け、事業担当課は従属栄養細菌数の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
嫌気性芽胞菌	けんきせいがほうきん	管路調査の成果整理時に、事業担当課は嫌気性芽胞菌の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
耐熱性芽胞菌	たいねつせいがほうきん	予防保全の優先順位を決めるため、事業担当課は耐熱性芽胞菌の整備効果を図面上で確認したため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
藻類数	そうるいすう	基本設計の照査で、保全班が藻類数の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
植物性プランクトン	しょくぶつせいぷらんくとん	施工計画の協議に先立ち、保全班が植物性プランクトンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
動物性プランクトン	どうぶつせいぷらんくとん	夜間工事の安全会議では、保全班が動物性プランクトンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
珪藻類	けいそうるい	月例点検の結果を受けて、保全班が珪藻類の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
藍藻類	らんそうるい	豪雨後の緊急巡視で、保全班が藍藻類の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
緑藻類	りょくそうるい	更新予算の査定時に、保全班が緑藻類の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
鉄細菌	てつさいきん	住民説明会の資料では、保全班が鉄細菌の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
硫酸塩還元菌	りゅうさんえんかんげんきん	議会答弁を準備する過程で、保全班が硫酸塩還元菌の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
硝化細菌	しょうかさいきん	新人研修の実習中に、保全班が硝化細菌の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
生菌数	せいきんすう	竣工検査の前日、保全班が生菌数の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
菌叢	きんそう	災害訓練の反省会で、保全班が菌叢の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
臭気物質	しゅうきぶっしつ	委託業者との現場打合せにおいて、保全班が臭気物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
かび臭物質	かびしゅうぶっしつ	長寿命化計画の見直し時に、保全班がかび臭物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
発泡物質	はっぽうぶっしつ	運転日報を確認したところ、保全班が発泡物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
着色物質	ちゃくしょくぶっしつ	中央監視室の引継ぎで、保全班が着色物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
腐食性物質	ふしょくせいぶっしつ	事故原因の検証会議では、保全班が腐食性物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
凝集阻害物質	ぎょうしゅうそがいぶっしつ	工事完成図との照合時に、保全班が凝集阻害物質の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
残留アルミニウム	ざんりゅうあるみにうむ	次年度の実施計画を作る際、保全班が残留アルミニウムの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
溶解性鉄	ようかいせいてつ	施設台帳を更新するため、保全班が溶解性鉄の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
溶解性マンガン	ようかいせいまんがん	関係機関との合同協議で、保全班が溶解性マンガンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
総鉄	そうてつ	休日の応急対応中、保全班が総鉄の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
総マンガン	そうまんがん	技術提案の審査会で、保全班が総マンガンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
硫酸イオン	りゅうさんいおん	定期修繕の発注前に、保全班が硫酸イオンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
炭酸水素イオン	たんさんすいそいおん	現地踏査の報告会では、保全班が炭酸水素イオンの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
遊離塩素	ゆうりえんそ	浸水被害の聞き取り後、保全班が遊離塩素の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
結合塩素	けつごうえんそ	監査資料を取りまとめる際、保全班が結合塩素の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
塩素耐性	えんそたいせい	交代勤務者への申し送りで、保全班が塩素耐性の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
消毒効果	しょうどくこうか	試運転の評価会において、保全班が消毒効果の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
不活化率	ふかつかりつ	耐震診断の中間報告では、保全班が不活化率の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
濁度管理	だくどかんり	水質異常の第一報を受け、保全班が濁度管理の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
濾過水濁度	ろかすいだくど	管路調査の成果整理時に、保全班が濾過水濁度の劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	水質	国土交通省・環境省「水質基準項目と基準値」
渦巻ポンプ	うずまきぽんぷ	予防保全の優先順位を決めるため、保全班が渦巻ポンプの劣化傾向を点検履歴から読み取ったため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
立軸ポンプ	たてじくぽんぷ	基本設計の照査で、受注者は立軸ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
横軸ポンプ	よこじくぽんぷ	施工計画の協議に先立ち、受注者は横軸ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
軸流ポンプ	じくりゅうぽんぷ	夜間工事の安全会議では、受注者は軸流ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
斜流ポンプ	しゃりゅうぽんぷ	月例点検の結果を受けて、受注者は斜流ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
立軸斜流ポンプ	たてじくしゃりゅうぽんぷ	豪雨後の緊急巡視で、受注者は立軸斜流ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
水中汚水ポンプ	すいちゅうおすいぽんぷ	更新予算の査定時に、受注者は水中汚水ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
汚泥ポンプ	おでいぽんぷ	住民説明会の資料では、受注者は汚泥ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
汚泥引抜ポンプ	おでいひきぬきぽんぷ	議会答弁を準備する過程で、受注者は汚泥引抜ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
返送汚泥ポンプ	へんそうおでいぽんぷ	新人研修の実習中に、受注者は返送汚泥ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
余剰汚泥ポンプ	よじょうおでいぽんぷ	竣工検査の前日、受注者は余剰汚泥ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
薬液注入ポンプ	やくえきちゅうにゅうぽんぷ	災害訓練の反省会で、受注者は薬液注入ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
定量ポンプ	ていりょうぽんぷ	委託業者との現場打合せにおいて、受注者は定量ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
真空ポンプ	しんくうぽんぷ	長寿命化計画の見直し時に、受注者は真空ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
排水ポンプ	はいすいぽんぷ	運転日報を確認したところ、受注者は排水ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
耐水型ポンプ	たいすいがたぽんぷ	中央監視室の引継ぎで、受注者は耐水型ポンプの品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
無注水軸封	むちゅうすいじくふう	事故原因の検証会議では、受注者は無注水軸封の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
軸封装置	じくふうそうち	工事完成図との照合時に、受注者は軸封装置の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
水中軸受	すいちゅうじくうけ	次年度の実施計画を作る際、受注者は水中軸受の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吐出弁	としゅつべん	施設台帳を更新するため、受注者は吐出弁の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吸込弁	すいこみべん	関係機関との合同協議で、受注者は吸込弁の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吸込水槽	すいこみすいそう	休日の応急対応中、受注者は吸込水槽の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吐出水槽	としゅつすいそう	技術提案の審査会で、受注者は吐出水槽の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吸込管	すいこみかん	定期修繕の発注前に、受注者は吸込管の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
吐出管	としゅつかん	現地踏査の報告会では、受注者は吐出管の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
呼び水装置	よびみずそうち	浸水被害の聞き取り後、受注者は呼び水装置の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
満水検知器	まんすいけんちき	監査資料を取りまとめる際、受注者は満水検知器の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
空運転防止	からうんてんぼうし	交代勤務者への申し送りで、受注者は空運転防止の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
最低運転水位	さいていうんてんすいい	試運転の評価会において、受注者は最低運転水位の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
始動水位	しどうすいい	耐震診断の中間報告では、受注者は始動水位の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
停止水位	ていしすいい	水質異常の第一報を受け、受注者は停止水位の品質管理方法を協議書に明記したため、その結論を協議録に残した。	機械電気計装	日本下水道協会「下水道施設計画・設計指針と解説」
